id,Station Name,Address_1,Address  2,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Subcategory,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select
1,AISD / AKINS1,10701 S 1st St.,,Austin,Texas,78748,2,,All Drivers,Education,High School / Other,J1772,240V,J1772,"10701 S 1st St.
Austin, Texas 3637
(30.148788993, -97.800974966)",,40A
2,AMD GO GREEN / P100 FL2 LEFT,7171 Southwest Pkwy,,Austin,Texas,78735,2,,AMD Lone Star,Workplace,High-Tech,J1772,240V,J1772,"7171 Southwest Pkwy
Austin, Texas 3251
(30.251202984, -97.863350994)",,40A
3,PIE AE / PUBACCHIGHLAND1,5930 Middle Fiskville Rd,,Austin,Texas,78752,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"5930 Middle Fiskville Rd
Austin, Texas 3641
(30.322711012, -97.712367018)",$4.17/month PIE members $2/hr Non-Members,40A
4,ACC / AE HLC GAR 1F7,6018 WILHELMINA DELCO DR,,Austin,Texas,78752,2,,All Drivers,Education,University / College,J1772,240V,J1772,"6018 WILHELMINA DELCO DR
Austin, Texas 3641
(30.3166, -97.6575)",,40A
5,RIATA' / WOODTRAIL,5700 Tapadera Trace Ln,,Austin,Texas,78727,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"5700 Tapadera Trace Ln
Austin, Texas 3243
(30.430362979, -97.742072985)",$4.17/month PIE members $2/hr Non-Members,40A
6,FOUNDATION COMM / JORDAN2,2724 Philomena St,,Austin,Texas,78723,2,,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"2724 Philomena St
Austin, Texas 3239
(30.299243988, -97.694802991)",,40A
7,DSMCUT / EVSE07 FLOOR L1,501573 E 15th St,,Austin,Texas,78701,2,,All Drivers,Healthcare,Hospital / Treatment Center,J1772,240V,J1772,"501573 E 15th St
Austin, Texas 2856
(30.275257241, -97.729358387)",,40A
8,NRP GROUP / DECKER 2,9000 Decker Ln,,Austin,Texas,78724,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"9000 Decker Ln
Austin, Texas 3240
(30.316931019, -97.615761979)",$4.17/month PIE members $2/hr Non-Members,40A
9,PIE AE / PUBDITTMAR1,1009 W Dittmar Rd,,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parks and Recreation,,J1772,240V,J1772,"1009 W Dittmar Rd
Austin, Texas 3637
(30.184661988, -97.802324033)",$4.17/month PIE members $2/hr Non-Members,40A
10,THE GROVE / MAIN STATION 1,3707 Manchaca Rd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"3707 Manchaca Rd
Austin, Texas 2859
(30.236312994, -97.783641023)",$4.17/month PIE members $2/hr Non-Members,40A
11,STEINER RANCH / EV CHARGER #2,4800 Steiner Ranch Blvd,,Austin,Texas,78732,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"4800 Steiner Ranch Blvd
Austin, Texas 3248
(30.382748991, -97.873827032)",$4.17/month PIE members $2/hr Non-Members,40A
12,COA / LOT J NW,10200 Hotel Drive,,Austin,Texas,78719,2,,All Drivers,Workplace,General,J1772,240V,J1772,"10200 Hotel Drive
Austin, Texas 2863
(30.205143291, -97.660903055)",,40A
13,BUILDING 7 EVCS / STATION1,909 Reinli St,,Austin,Texas,78751,2,,All Drivers,Multi-family Commercial,Condominium,J1772,240V,J1772,"909 Reinli St
Austin, Texas 3640
(30.319053987, -97.710345973)",,40A
14,AVIATION / 5TH FLOOR,3201 Presidential Blvd,,Austin,Texas,78719,2,,All Drivers,Parking,Airport,J1772,240V,J1772,"3201 Presidential Blvd
Austin, Texas 2863
(30.204258773, -97.670137162)",,40A
15,PIE AE / PALMER STATION1,800 Barton Springs Rd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,"NEMA 5-20R, J1772",240V,"NEMA 5-20R, J1772","800 Barton Springs Rd
Austin, Texas 2859
(30.2592972, -97.752574566)",$4.17/month PIE members $2/hr Non-Members,40A
16,PIE AE / PUB UTPICKLE1,10100 Burnet Rd,J. J. Pickle Research Campus,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"10100 Burnet Rd
Austin, Texas 3646
(30.387576004, -97.727587967)",$4.17/month PIE members $2/hr Non-Members,40A
17,W1 / W 1,4100 Jackson Ave,,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"4100 Jackson Ave
Austin, Texas 3247
(30.316046016, -97.755586038)",$4.17/month PIE members $2/hr Non-Members,40A
18,THE BOWIE / STATION 02,311 Bowie St,,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,--,J1772,"311 Bowie St
Austin, Texas 2856
(30.269150986, -97.752987984)",$4.17/month PIE members $2/hr Non-Members,40A
19,MUELLER MARKET / MUELLER ST7,1801 E 51st St,,Austin,Texas,78723,1,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"1801 E 51st St
Austin, Texas 3239
(30.302518001, -97.69830604)",$4.17/month PIE members $2/hr Non-Members,40A
